Item type|ENTRYTYPE|ID|Authors|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|126|Debellis F,De Massis A,Petruzzelli AM,Frattini F,Del Giudice M|Strategic agility and international joint ventures: The willingness-ability paradox of family firms|JOURNAL OF INTERNATIONAL MANAGEMENT|Q1|80|2021|27|1||ELSEVIER|RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS|2021-03|||1075-4253|http://dx.doi.org/10.1016/j.intman.2020.100739|10.1016/j.intman.2020.100739|Despite the considerable increase in studies on international joint ventures (IJVs) and family business, the two research streams have yet to be systemically integrated. Family firms have unique characteristics that affect their involvement in IJVs differently from their non-family counterparts. Indeed, family firms face a paradox entailing a lower willingness to form IJVs, but a higher ability to govern them. Drawing on three distinct components of strategic agility (i.e., strategic sensitivity, leadership unity, and resource fluidity), we develop a theoretical framework that unravels this paradox. Specifically, we argue that strong emotional attachment reduces family firms? strategic sensitivity, creating a motivational gap with respect to forming IJVs. On the other hand, when family firms overcome this gap by making full use of their board of directors, they have higher levels of leadership unity and resource fluidity. These dimensions lead to a greater ability to govern the complexities of the relationship, hence reducing opportunistic hazards, and significantly increasing the odds of the long-term success of IJVs. We develop propositions for empirical studies, and offer implications and directions for future research.|International joint ventures; Strategic agility; Family firms; Board of directors; Socioemotional wealth||Debellis, F (Corresponding Author), Free Univ Bozen Bolzano, Fac Econ & Management, Ctr Family Business Management, Piazza Univ 1, I-39100 Bozen Bolzano, Italy. Debellis, Francesco; De Massis, Alfredo, Free Univ Bozen Bolzano, Fac Econ & Management, Ctr Family Business Management, Piazza Univ 1, I-39100 Bozen Bolzano, Italy. De Massis, Alfredo, Univ Lancaster, Lancaster, England. Petruzzelli, Antonio Messeni, Politecn Bari, Via Orabona 4, I-70126 Bari, Italy. Frattini, Federico, Politecn Milan, Sch Management, Via Lambruschini 4-B, I-20156 Milan, Italy. Del Giudice, Manlio, Univ Rome, Link Campus Univ, Via Casale S Pio V 44, I-00165 Rome, Italy. Del Giudice, Manlio, Paris Sch Business, Rue Natl, Paris, France. Del Giudice, Manlio, Natl Res Univ Higher Sch Econ, Moscow, Russia.|English|
Journal Article|article|127|Trinh VQ,Aljughaiman AA,Cao ND|Fetching better deals from creditors: Board busyness, agency relationships and the bank cost of debt|INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS|Q1|79|2020|69|||ELSEVIER SCIENCE INC|STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA|2020-05|||1057-5219|http://dx.doi.org/10.1016/j.irfa.2020.101472|10.1016/j.irfa.2020.101472|In a cross-country setting, we document that busy boards of directors (i.e., outside directors with multiple directorships) enhance a bank's financing capacity by lowering its cost of debt, which is consistent with the signalling quality hypothesis. Our analysis further reveals that this negative association is more pronounced in conventional banks than their Islamic counterparts. Possibly owning to the distinctive governance structure and the complexity of the Islamic business model, which requires closer monitoring, Muslim debtholders might depreciate a busy board of directors as it is likely to associate with lower scrutinising effectiveness. Our results provide a positive counterpoint to the negative relationship that exists between busy directors and firm performance, and contributes to understanding the indispensable role busy boards play in debt financing.|Board busyness; Islamic banks; Conventional banks; Cost of debt||Trinh, VQ (Corresponding Author), Univ Huddersfield, Huddersfield Business Sch, Huddersfield HD1 3DH, W Yorkshire, England. Trinh, Vu Quang, Univ Huddersfield, Huddersfield Business Sch, Huddersfield HD1 3DH, W Yorkshire, England. Aljughaiman, Abdullah A., King Faisal Univ, Sch Business, Al Hasa, Saudi Arabia. Cao, Ngan Duong, Univ Bath, Sch Management, Bath, Avon, England. Cao, Ngan Duong, Claverton Rd, Bath BA2 7AY, Avon, England.|English|
Journal Article|article|128|Cuadrado-Ballesteros B,Martinez-Ferrero J,Garcia-Sanchez IM|Board Structure to Enhance Social Responsibility Development: A Qualitative Comparative Analysis of US Companies|CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT|Q1|96|2017|24|6|524-542|WILEY|111 RIVER ST, HOBOKEN 07030-5774, NJ USA|NOV-DEC 2017|||1535-3958|http://dx.doi.org/10.1002/csr.1425|10.1002/csr.1425|This study adds clarity to inconclusive results in previous literature about the link between board characteristics and the level of social responsibility performance by using fuzzy set qualitative comparative analysis. Specifically, we propose a new holistic framework based on the complexity theory. From a sample of 471 non- financial companies from the USA for the period 2008-2010, our findings support the four tenets of complexity theory: equifinality, complexity, asymmetry, and causal asymmetry. More concretely, they suggest that CSR performance depends on a complex configuration of some board characteristics, such as size, independency, diversity and activity, and other corporate attributes (i.e., company size, leverage, and growth opportunities). These factors play a key role as the ingredients of the recipe and, in a proper combination, contribute to obtaining high levels of social responsibility performance. Copyright (c) 2017 John Wiley & Sons, Ltd and ERP Environment|corporate social responsibility; stakeholder engagement; qualitative comparative analysis; complexity theory; board of directors; sustainability development; social responsibility||Cuadrado-Ballesteros, B (Corresponding Author), Univ Salamanca, Adm & Business Econ, Multidisciplinary Inst Enterprise IME, FES, Campus Unamuno, Salamanca 37007, Spain. Cuadrado-Ballesteros, Beatriz; Martinez-Ferrero, Jennifer; Garcia-Sanchez, Isabel M., Univ Salamanca, Adm & Business Econ, Multidisciplinary Inst Enterprise IME, FES, Campus Unamuno, Salamanca 37007, Spain.|English|
Journal Article|article|129|Chen LY,Lai JH|The effect of board human capital on the performance of technical alliance investments|R & D MANAGEMENT|Q1|112|2017|47|2|265-276|WILEY|111 RIVER ST, HOBOKEN 07030-5774, NJ USA|2017-03|||0033-6807|||Despite boards of directors' prominent involvement in strategic alliance ( SA) decisions in practice and reports from news media, there is relatively little academic research exploring the board's value for a firm's technical SA investments involving a technical transfer or R & D, which are characterized by a high level of uncertainty, information asymmetry, and extreme complexity. Anchored in the resource dependence theory, this study aims to address this important issue by examining how board of directors contribute their human capital, in the form of relevant strategic experience, may mitigate the core challenges managers face when pursuing technical SAs and thereby influencing their outcomes. Our empirical results show that when outside directors hold more extensive alliance experience, they can better execute their consulting function and improve the firm's technical alliance performance. In addition, directors with experience specifically related to technical alliances also have a positive effect on performance. Last, we find that the impact of alliance experience on technical alliance performance is positively moderated by the size of directors' prior affiliated companies and their share ownership in the focal firm.|||Chen, LY (Corresponding Author), Soochow Univ, Dept Business Adm, 56,Kueiyang St,Sect 1, Taipei 100, Taiwan. Chen, Li-Yu, Soochow Univ, Dept Business Adm, 56,Kueiyang St,Sect 1, Taipei 100, Taiwan. Lai, Jung-Ho, Natl Taipei Univ Business, Dept Finance, 321,Sec 1,Jinan Rd, Taipei 10051, Taiwan.|English|
Journal Article|article|130|Pobric A|DETERMINANTS OF THE QUALITY OF INTERNAL CONTROL OVER THE FINANCIAL REPORTING SYSTEM|CASOPIS ZA EKONOMIJU I TRZISNE KOMUNIKACIJE|Q3|0|2022|12|2|462-475|PAN-EUROPEAN UNIV APEIRON|PAN-EUROPEAN UNIV APEIRON, BANJA LUKA, 00000, BOSNIA & HERCEG|2022-12|||2232-8823|http://dx.doi.org/10.7251/EMC2202462P|10.7251/EMC2202462P|External stakeholders rely heavily on the information contained in the financial statements when making business decisions. Given the risks they take in making decisions based on this information, they expect the management to provide them with quality financial statements. In order to be able to provide such financial statements, the company's management needs to establish quality internal control over the financial reporting system. The task of this internal control is to reduce the risks of unintentional errors in accounting records, as well as intentional manipulation of accounting information contained in financial statements. Having in mind the importance of internal control for providing reliable financial statements, the author intends to identify the determinants of the quality of internal control in this article. In order to identify these determinants, the author relies on the results of empirical research conducted in countries where companies are required to disclose information on the quality of internal control over financial statements. According to the author's findings, the quality of internal control is influenced by a number of factors concerning the characteristics of corporate governance and the characteristics of the company in which internal control is established. When it comes to the characteristics of corporate governance, the quality of internal control over the financial reporting system is affected by the quality of the board of directors, the quality of the audit committee and the quality of internal audit. When it comes to the characteristics of the company, the author found that the quality of internal control over the financial reporting system is influenced by the ownership structure of the company, its size, age, financial stability, complexity, growth rate and the fact that the company is in the process of restructuring.|internal control over the financial reporting system; board of directors; audit committee; internal audit; company's characteristics||Pobric, A (Corresponding Author), Univ East Sarajevo, Fac Econ Brcko, Lukavica, Bosnia & Herceg. Pobric, Amira, Univ East Sarajevo, Fac Econ Brcko, Lukavica, Bosnia & Herceg.|English|
Journal Article|article|131|Nordberg D|Edging Toward `Reasonably' Good Corporate Governance|PHILOSOPHY OF MANAGEMENT|Q2|13|2018|17|3|353-371|SPRINGER INTERNATIONAL PUBLISHING AG|GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND|2018-11|||1740-3812|http://dx.doi.org/10.1007/s40926-017-0083-9|10.1007/s40926-017-0083-9|Over four decades, research and policy have created layers of understandings in the quest for ``good'' corporate governance. The corporate excesses of the 1970s sparked a search for market mechanisms and disclosure to empower shareholders. The UK-focused problems of the 1990s prompted board-centric, structural approaches, while the fall of Enron and many other companies in the early 2000s heightened emphasis on director independence and professionalism. With the financial crisis of 2007-09, however, came a turn in some policy approaches and in academic literature seeking a different way forward. This paper explores those four phases and the discourse each develops and then links each to assumptions about accountability and cognition. After the financial crisis came pointers n policy and practice away from narrow, rationalist prescriptions and toward what the philosopher Stephen Toulmin calls ``reasonableness''. Acknowledging that heightens awareness of complexity and interdependence in corporate governance practice. The paper then articulates a research agenda concerning what ``reasonably'' good corporate governance might entail.|Corporate governance; Boards of directors; Investors; Rationality; Reasonableness||Nordberg, D (Corresponding Author), Bournemouth Univ, Execut Business Ctr, 89 Holdenhurst Rd, Bournemouth BH8 8EB, Dorset, England. Nordberg, Donald, Bournemouth Univ, Execut Business Ctr, 89 Holdenhurst Rd, Bournemouth BH8 8EB, Dorset, England.|English|
Journal Article|article|132|Krisnadewi KA,Soewarno N,Agustia D|Optimum Board Size to Achieve Optimal Performance in Indonesia|JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS|Not yet assigned quartile|25|2020|7|11|231-239|KOREA DISTRIBUTION SCIENCE ASSOC|HANSHIN OFFICETEL STE 1030, 2463-4, SHINHEUNG-DONG SUJEONG-GU, SEONGNAM, GYEONGGI, 461-713, SOUTH KOREA|2020-11|||2288-4637|http://dx.doi.org/10.13106/jafeb.2020.vol7.no11.231|10.13106/jafeb.2020.vol7.no11.231|The aim of this paper is to review the role of board size as part of the corporate governance system. This paper discusses one aspect of corporate governance, namely, boards, in the Indonesian context. Using the literature review method, this paper explores factors that need to be considered to determine the optimal number of boards, especially in Indonesia. We explore some determinants of board size, such as complexity and leverage, ownership structure, and financial ratio support. The results reveal that an understanding of the differences found in the two-tier board model helps us understand that the different functions of the board of commissioners and the board of directors require different test treatments from countries that adhere to one-tier systems. A review of the relationship between board size and company performance is expected to provide the corporate governance literature with insights into optimizing the sizes of boards that can improve company performance, both in terms of boards of commissioners and boards of directors. This paper proposes the simultaneous testing of board size's relationship with company performance. The results of this study are expected to make a more real contribution about the effect of board size on company performance.|Board Size; Corporate Governance; Performance; Two- tier; Indonesia||Soewarno, N (Corresponding Author), FEB Univ Airlangga, Jalan Airlangga, Surabaya 60286, East Java, Indonesia. Krisnadewi, Komang Ayu; Soewarno, Noorlailie; Agustia, Dian, Univ Airlangga Indonesia, Dept Accounting, Fac Econ & Business, Surabaya, East Java, Indonesia. Krisnadewi, Komang Ayu, Univ Udayana, Fac Econ & Business, Dept Accounting, Denpasar, Indonesia.|English|
Journal Article|article|133|Diaz DA,Rees CJ|Checks and balances? Leadership configurations and governance practices of NGOs in Chile|EMPLOYEE RELATIONS|Q1|62|2020|42|5, SI|1159-1177|EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND|2020-08-03|||0142-5455|http://dx.doi.org/10.1108/ER-08-2019-0327|10.1108/ER-08-2019-0327|Purpose The emergence of Governance practices in the non-governmental organisation (NGO) sector has become associated with increasingly high levels of organisational complexity. In the light of an expanding civil society sector in Chile and the emergence of formalised governance practices, this paper explores the construction of the Executive Director role in Chilean NGOs with reference to organisational functions, organisational dynamics, and external influences. Design/methodology/approach Grounded theory is used to explore qualitative data derived from a set of N = 39 interviews conducted in Chile These interviews involve NGO founders, funders, Executive Directors, scholars, consultants, and team members. Findings The findings reveal the pivotal role played by Executive Directors in conducting organisational activities which, in other types of organisations, are often distributed across various organisational functions. The data also highlight complex dynamics involving overt compliance with external regulatory requirements, uncertainties about financial sustainability, the recruitment of Executive Board members, the exercise of power by Executive Directors, and the influence of founders in leadership configurations. Research limitations/implications - The implications of the study are discussed in relation to the governance and accountability of NGOs, the nature of the Executive Director role, the purpose of Executive Boards in the NGO sector, and the recruitment and training of Board members. It is noted that the study was conducted in the NGO sector in Chile; further research is necessary to establish the generalisability of the findings to other contexts. Originality/value This paper addresses the shortage of organisational research on NGOs. It contributes by offering analytical perspectives on organisational processes of Leadership and Governance. This paper highlights the relationship between, and interdependency of, those processes.|Executive director; NGO; Chile; Governance; Boards of directors||Diaz, DA (Corresponding Author), Univ Manchester, Global Dev Inst, Manchester, Lancs, England. Diaz, Daniel A.; Rees, Christopher J., Univ Manchester, Global Dev Inst, Manchester, Lancs, England.|English|
Journal Article|article|134|Upadhyay A,Triana MC|Drivers of diversity on boards: The impact of theSarbanes-Oxleyact|HUMAN RESOURCE MANAGEMENT|Q1|108|2021|60|4|517-534|WILEY PERIODICALS, INC|ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, CA 94104 USA|2021-07|||0090-4848|http://dx.doi.org/10.1002/hrm.22035|10.1002/hrm.22035|This study investigates how firm structure, chief executive officer (CEO) power, and federal legislation influence hiring of corporate directors from a diverse background. Combining the value-in- diversity hypothesis and the similarity-attraction paradigm, we examine the impact of economically rational (i.e., business need) and social preference (i.e., similar-to-me bias) drivers of board diversity post-the Sarbanes-Oxley Act of 2002 (SOX). Using a sample of S&P 1500 firms from an eight-year period spanning SOX, we find that SOX is positively correlated with board diversity. Although SOX was not intended to increase board diversity, the changes it put in place have subsequently facilitated more board diversity. Results show that the economically rational predictor (firm operational complexity) had a positive and statistically significant effect on board diversity pre-SOX but that effect disappeared post-SOX. Meanwhile, CEO power, a social preference inhibitor of board diversity, had a negative and statistically significant relationship with board diversity pre- SOX which also disappeared post-SOX. It appears that SOX has mitigated both economically rational drivers to want more diversity as well as social preference drivers to want less diversity. Implications of these findings for research and practice are discussed.|board of directors; CEO power; ethnic diversity; gender diversity; operational complexity; Sarbanes- Oxley act||Triana, MD (Corresponding Author), Vanderbilt Univ, Owen Grad Sch Management, Nashville, TN 37203 USA. Upadhyay, Arun, Florida Int Univ, Dept Finance, Miami, FL 33199 USA. Triana, Maria del Carmen, Vanderbilt Univ, Owen Grad Sch Management, Nashville, TN 37203 USA.|English|
Journal Article|article|135|Perez-Calero Sanchez L,Barroso Castro C,Villegas Perinan MM|Integrating the board's resources to achieve a firm's internationalisation|ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION|Q2|19|2015|28|3|332-358|EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND|2015|||1012-8255|http://dx.doi.org/10.1108/ARLA-06-2014-0070|10.1108/ARLA-06-2014-0070|Purpose - From the resource-based view (RBV), the purpose of this paper is to argue that the board has the capability to participate in international strategic decisions and deal with the environmental complexities that internationalisation brings; and moreover, to achieve better performance than its competitors. Design/methodology/approach - This paper highlights the active participation of the board in firm internationalisation using a sample of 78 Spanish firms quoted on Madrid Stock Exchange. The authors used a longitudinal analysis from 2005 through 2010. Findings - The results show that while the resources provided by the directors through their level of education and international experience, help them learn and process information, and they are a source of expertise representing ``board potential''. A board that functions well through the directors' relationships allow the proper integration and use of these resources, and helps create sustainable competitive advantages in an international context. Originality/value - From a RBV, this paper refines and extends the concept of ``board capability'' as the combination of potential and internal relations that allow boards to undertake their roles competently over time. Additionally, the paper empirically examines the effect of board capability on firm internationalisation.|Board of directors; Resource-based view; Firm internationalization||Sanchez, LPC (Corresponding Author), Univ Pablo de Olavide, Org Business & Mkt, Seville, Spain. Perez- Calero Sanchez, Leticia, Univ Pablo de Olavide, Org Business & Mkt, Seville, Spain. Barroso Castro, Carmen; Villegas Perinan, Maria del Mar, Univ Seville, Business Adm & Mkt, Seville, Spain.|English|
Journal Article|article|136|Dwekat A,Segui-Mas E,Tormo- Carbo G,Carmona P|Corporate Governance Configurations and Corporate Social Responsibility Disclosure: Qualitative Comparative Analysis of Audit Committee and Board characteristics|CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT|Q1|96|2020|27|6|2879-2892|WILEY|111 RIVER ST, HOBOKEN 07030-5774, NJ USA|2020-11|||1535-3958|http://dx.doi.org/10.1002/csr.2009|10.1002/csr.2009|Drawing on the complexity theory and responding to the recent calls to use such creative methods that mix between a quantitative and qualitative approach. Therefore, this study fills the literature gap, adding novelties, showing evidence from the unexplored (or underexplored) European context and, consequently, shedding light to inconclusive results in previous research concerning the effect of audit committee (AC) and board characteristics on corporate social responsibility (CSR) disclosure by applying a novel research methodology: the fuzzy set qualitative comparative analysis. The data were collected from Eikon database for a sample of the top 69 non-financial European companies (based on market capitalisation) for the period 2016-2018. The study results support the equifinality and complexity tenets of complexity theory. It also suggests that CSR disclosure relies on a complex configuration of some AC attributes, for example, independence, financial expert member, chair independence, size and activity, and other board characteristics (independence, gender, size, activity, and Chief Executive Officer (CEO) duality). These characteristics play a leading part as a recipe ingredient and, in an appropriate combination, promote achieving high CSR disclosure levels. Our empirical results offer multidimensional and valuable insights for professionals, regulators, and policymakers in establishing and revising the guidelines regarding the AC and board of directors' composition.|audit committee; board characteristics; complexity theory; corporate governance; corporate social responsibility; qualitative comparative analysis||Dwekat, A (Corresponding Author), Univ Politecn Valencia, Cami Vera S-N, Valencia 46022, Spain. Dwekat, Aladdin, Univ Politecn Valencia, Cami Vera S-N, Valencia 46022, Spain. Dwekat, Aladdin, An Najah Natl Univ, Dept Accounting, Nablus, Palestine. Segui-Mas, Elies; Tormo-Carbo, Guillermina, Univ Politecn Valencia, Business Management Res Ctr, CEGEA, Valencia, Spain. Carmona, Pedro, Univ Valencia, Accounting Dept, Valencia, Spain.|English|
Journal Article|article|137|Rebeiz KS|Relationship between boardroom independence and corporate performance: Reflections and perspectives|EUROPEAN MANAGEMENT JOURNAL|Q1|117|2018|36|1|83-90|ELSEVIER SCI LTD|THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND|2018-02|||0263-2373|http://dx.doi.org/10.1016/j.emj.2017.01.008|10.1016/j.emj.2017.01.008|The perceived economic value of an independent boardroom configuration has progressively emerged as a matter of considerable importance in the academic and popular literature. The normative research paradigm has fundamentally been dominated by positivists who formulate inferential models populated by large sets of archival data. Regrettably, however, several decades of intense inquiries and passionate debates have invariably failed to ascertain (or dispel) the economic value of an independent boardroom configuration. The lingering boardroom independence corporate performance saga has reached an impasse with no clear resolution in the foreseeable future. In this study, I provide a diagnosis (through the thematic analysis of semi-structured interviews) of why the economic viability of an independent boardroom remains an elusive phenomenon for positivist researchers. A central reason for the research impasse is attributed to ontological complexities intrinsic to the very nature of the corporation, compounded by multiple layers of methodological complexities. Ultimately, the disentanglement of this enigma would require a pivotal reconceptualization of the corporate governance research agenda. (C) 2017 Elsevier Ltd. All rights reserved.|Board of directors; Corporate governance; Independence; Corporate performance; Methodology; Agency cost; Diffuse shareholders||Rebeiz, KS (Corresponding Author), Phoenicia Univ, Daoudiye, Lebanon. Rebeiz, Karim S., Phoenicia Univ, Daoudiye, Lebanon.|English|
Journal Article|article|138|Duong L,Evans J|CFO compensation: Evidence from Australia|PACIFIC-BASIN FINANCE JOURNAL|Q1|67|2015|35|A|425-443|ELSEVIER SCIENCE BV|PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS|2015-11|||0927-538X|http://dx.doi.org/10.1016/j.pacfin.2015.03.006|10.1016/j.pacfin.2015.03.006|We investigate the extent to which the incentive alignment theory and the managerial power theory explain the variability of CFO compensation in Australia. We find a positive relationship between the level of CFO compensation and measures of job complexity and firm stock market performance. However, we do not find the pay-for-performance link when performance is measured at the CFO-specific level. CFOs actually receive higher non-cash compensation when reporting quality is lower, suggesting a sharp contrast to predictions of the incentive alignment approach. Conversely, we find that CFOs who have more managerial power (the CFO is on the board of directors, or holds a higher level of stock ownership, or stays longer in their position) receive significantly higher compensation. For example, a CFO who has board membership receives on average $323,590 more than the total compensation of a CFO who is not a board insider. Overall both theories are important in determining Australian CEO compensation but the managerial power hypothesis explains a larger fraction of variation in CFO pay than the incentive alignment view. (C) 2015 Elsevier B.V. All rights reserved.|CFO compensation; Job complexity; Performance; Managerial power||Duong, L (Corresponding Author), Curtin Univ, Sch Accounting, Bentley Campus,GPO Box U1987, Perth, WA 6845, Australia. Duong, Lien; Evans, John, Curtin Univ, Curtin Business Sch, Perth, WA 6845, Australia.|English|
Journal Article|article|139|Langan R,Krause R,Menz M|Executive Board Chairs: Examining the Performance Consequences of a Corporate Governance Hybrid|JOURNAL OF MANAGEMENT|Q1|261|||||SAGE PUBLICATIONS INC|2455 TELLER RD, THOUSAND OAKS, CA 91320 USA||||0149-2063|http://dx.doi.org/10.1177/01492063221102394|10.1177/01492063221102394|Traditional agency theory views the proper role of the board chair exclusively as providing independent oversight to monitor and control the CEO. Recently, firms have introduced innovations in board leadership that have confounded these theoretical expectations. One notable innovation is the executive board chair, a corporate governance hybrid responsible for both oversight and strategic decision-making, challenging agency theory's prescription that the two activities remain separate. In this study, we argue that an executive board chair position can resolve the trade-off between independent oversight and involvement in strategy and therefore generate a performance advantage. We also predict that, owing to the blurring of lines between the CEO and board chair roles that the executive board chair position creates, the relationship will be stronger the greater the need to monitor and control the CEO but weaker when organizational complexity and board leadership demands are greater. Analysis of S&P 1500 firms from 2003 to 2017 provides general support for our arguments.|board chair; board of directors; agency theory; corporate governance; strategic leadership; CEO power||Langan, R (Corresponding Author), Univ Geneva, Geneva Sch Econ & Management, 40 Blvd Pont dArve, CH-1205 Geneva, Switzerland. Langan, Robert; Menz, Markus, Univ Geneva, Geneva, Switzerland. Krause, Ryan, Texas Christian Univ, Ft Worth, TX 76129 USA.|English|
Journal Article|article|140|Frijns B,Dodd O,Cimerova H|The impact of cultural diversity in corporate boards on firm performance|JOURNAL OF CORPORATE FINANCE|Q1|120|2016|41||521-541|ELSEVIER|RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS|2016-12|||0929-1199|http://dx.doi.org/10.1016/j.jcorpfin.2016.07.014|10.1016/j.jcorpfin.2016.07.014|We examine the impact of cultural diversity in boards of directors on firm performance. We construct a measure of national cultural diversity by calculating the average of cultural distances between board members using Hofstede's culture framework. Our findings indicate that national cultural diversity in boards negatively affects firm performance measured by Tobin's Q and ROA. These results hold after controlling for potential endogeneity using firm fixed effects and instrumental variables regressions. Further, the results are robust to controlling for a wide range of board and firm characteristics, including various measures of ``foreignness'' of the firm, alternative culture frameworks, and other measures of culture. The negative impact of cultural diversity on performance is mitigated by the complexity of the firm and the size of foreign sales and operations. In addition, we find that the negative effects of cultural diversity are concentrated among the independent directors. Finally, we find that not all aspects of cultural differences are equally important and that it is mainly the diversity in individualism and masculinity that affects the effectiveness of boards of directors. (C) 2016 Elsevier B.V. All rights reserved.|Cultural diversity; Cultural distance; Board diversity; Firm performance||Frijns, B (Corresponding Author), Auckland Univ Technol, Dept Finance, Private Bag 92006, Auckland 1142, New Zealand. Frijns, Bait; Dodd, Olga; Cimerova, Helena, Auckland Univ Technol, Dept Finance, Private Bag 92006, Auckland 1142, New Zealand.|English|
Journal Article|article|141|Schiehll E,Lewellyn K,Yan W|A configurational perspective of boards' attention structures|CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW|Q1|99|||||WILEY|111 RIVER ST, HOBOKEN 07030-5774, NJ USA||||0964-8410|http://dx.doi.org/10.1111/corg.12493|10.1111/corg.12493|Research Question/Issue What combinations of board attributes and contextual factors explain boards' selective distribution of attention between their dual role of resource provisioning and monitoring? At the board level, we consider board structure and breadth of knowledge, while the context in which boards operate is captured by the degree of external scrutiny, operational complexity, performance, and ownership structure. Research Findings/Insights Our study demonstrates that there are multiple ways board attributes bundle and combine with important elements of the context to promote similar board attention structures. Our findings provide evidence of the causal complexity underlying this phenomenon and corroborate the notions of equifinality and asymmetric causality among board-, firm-, and institution-level conditions conducive to boards allocating more attention to either their resource provisioning or monitoring roles. Theoretical/Academic Implications Our findings support the attention-based view (ABV), suggesting that boards' selective distribution of attention is regulated by the combination of skills and knowledge directors bring to the firm and the stimuli provided by contextual factors. In doing so, we underscore the need for an extended theory on board effectiveness, as resource dependence- and agency- based prescriptions about boards' behavior may be incomplete, since there is limited consideration by these theories of the bounded rationality of directors and the complex relationships between the factors that can frame boards' selective distribution of attention. Practitioner/Policy Implications Our study informs efforts to disentangle the conditions under which different attributes combine and regulate boards' distribution of attention, which has implications for nomination committees and powerful actors who have influence on board appointments. Because our results reveal several causal paths that can promote similar board attention structures, decision makers may wish to recruit directors with specific attributes that will be the best fit for the firm's contextual conditions.|attention-based view; board of directors; China; configurational perspective; corporate governance; structural distribution of attention||Schiehll, E (Corresponding Author), HEC Montreal, 3000 Chemin Cote St Catherine, Montreal, PQ H3T 2A7, Canada. Schiehll, Eduardo; Yan, Wenxi, HEC Montreal, 3000 Chemin Cote St Catherine, Montreal, PQ H3T 2A7, Canada. Schiehll, Eduardo, Aalto Univ, Sch Business, Espoo, Finland. Lewellyn, Krista, Florida Southern Coll, Lakeland, FL USA.|English|
Journal Article|article|142|Jouber H|Environmental sustainability performance and shareholder value: an international fuzzy-set qualitative comparative analysis|EUROMED JOURNAL OF BUSINESS|Q1|31|||||EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND||||1450-2194|http://dx.doi.org/10.1108/EMJB-09-2022-0161|10.1108/EMJB-09-2022-0161|PurposeConsidering corporate governance (CG hereinafter) practices' variety across Anglo- American and European countries, this study relies on contingency and complexity theories to investigate the effect of environmental sustainability performance (ESP hereinafter) on shareholder value under various configurations of board of directors (BoD hereinafter), firm and country characteristics.Design/methodology/approachThe author used the Thomson Reuters Environment Pillar Score (ASSET4) and the Total Shareholder Return to assess ESP and shareholder value respectively. The author applied a fuzzy-set qualitative comparative analysis (fsQCA hereinafter) to an unbalanced panel of 2,284 observations from 486 European and Anglo- American non-financial listed firms over the period 2016-2020.FindingsThe author found a positive association between ESP and shareholder value and he displayed notable differences between Anglo-American and European economies regarding causal predictors of this positive association. Within European firms operating under civil law code where investor protection is low and family ownership is widespread, ESP creates shareholder value under configurations of causal predictors that significantly differ from those of their Anglo- American peers. The author's findings are robust to different identification strategies.Practical implicationsThis study assists researchers, practitioners, shareholders and policymakers the significant roles that BoD diversity, organisational and institutional traits are jointly playing as determinants of the ESP-shareholder value relationship.Originality/valueThe author's study offers a more encompassing, complete and theoretically richer picture of the key drivers and outcomes of ESP.|Sustainability; Environmental performance; Shareholder value; Complexity theory; fsQCA||Jouber, H (Corresponding Author), Imam Mohammad Ibn Saud Islamic Univ IMSIU, Riyadh, Saudi Arabia. Jouber, H (Corresponding Author), Sfax Univ, LARTIGE, Sfax, Tunisia. Jouber, Habib, Imam Mohammad Ibn Saud Islamic Univ IMSIU, Riyadh, Saudi Arabia. Jouber, Habib, Sfax Univ, LARTIGE, Sfax, Tunisia.|English|
