Item type|Authors|quartil|Editors|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|Dvoulety O,Blazkova I|Q2||Determinants of competitiveness of the Czech SMEs: findings from the global competitiveness project|COMPETITIVENESS REVIEW|2021|31|3, SI|361-378|EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND|2021-05-21|||1059-5422|http://dx.doi.org/10.1108/CR-01-2020-0007|10.1108/CR-01-2020-0007|Purpose The purpose of this paper is to examine the firm-level drivers of competitiveness of the Czech small- and medium-sized enterprises (SMEs) using the complex firm-level competitiveness index. The authors explored the relationship between firm competitiveness and firm characteristics such as size, age, industry affiliation and location. Design/methodology/approach The complex competitiveness index as a proxy for firm competitiveness was calculated from the survey data. In total, 132 complete questionnaires filled in by representatives of randomly selected Czech SMEs were collected in 2018. Additional firm characteristics (size, age, industry affiliation and location) considered as determinants of competitiveness were obtained from the commercial database Albertina and from the Czech Statistical Office. The determinants of competitiveness were tested econometrically by estimation of multivariate regression models. Findings The authors mainly found a significant relationship between the firm size and competitiveness of the Czech SMEs. The authors have also confirmed that the least competitive enterprises are those operating in the agricultural sector and that regional location plays an important role in the determination of firm competitiveness. Practical implications The identification of competitiveness drivers can provide entrepreneurs, managers and policymakers with important implications. It seems beneficial for the Czech SMEs to expand the scope of operations to achieve a larger company size, for example, by focussing on investment activities, direct marketing, improving entrepreneurial skills or by applying an aggressive sales strategy, especially towards markets with lower competition. Politicians may respond to these efforts by setting the appropriate policies that promote SMEs' competitiveness, for example, through the hard and soft public support for financial and human resources. Originality/value Although many studies on competitiveness have been published, there is still a limited number of firm-level studies looking at competitiveness from multiple angles rather than from the study of profitability and productivity. In contrast, the study uses a complex firm-level competitiveness index based on ten competitiveness pillars (technology, human capital, products, domestic market, networks, international markets, online presence, marketing, decision making and strategy) to capture the contribution of different resources and capabilities to firm competitiveness.|Competitiveness; Competitiveness index; Small- and medium-sized enterprises (SMEs); Firm size; Firm- level analysis; Czech Republic||Dvoulety, O (Corresponding Author), Univ Econ, Dept Entrepreneurship, Prague, Czech Republic. Dvoulety, Ondrej, Univ Econ, Dept Entrepreneurship, Prague, Czech Republic. Blazkova, Ivana, Mendel Univ Brno, Dept Reg & Business Econ, Brno, Czech Republic.|English|
Journal Article|Jaya PE,Utama MS,Yasa IG,Yuliarmi NN|Q2||Improving competitiveness and well-being through human resources quality, local culture, and product performance|COGENT BUSINESS & MANAGEMENT|2020|7|1||TAYLOR & FRANCIS AS|KARL JOHANS GATE 5, NO-0154 OSLO, NORWAY|2020-01-01|||2331-1975|http://dx.doi.org/10.1080/23311975.2020.1831247|10.1080/23311975.2020.1831247|This study aims to examine and analyze the effect of Human Resources Quality, Product performance, and local culture on Competitiveness and welfare of small and medium-sized businesses. The study was conducted at the Small and Medium Enterprises in Denpasar-Bali-Indonesia which collected 126 business owner. The research was conducted by census, where all participation was used as research respondents. Data collection was carried out through interviews related to the prepared questionnaire. Questionnaires that were asked by respondents then tabulated and processed with the SmartPLS 3.0 program. The results found that the quality of human resources, product performance, and local culture showed a significant positive effect on competitiveness. Competitiveness shows a significant positive effect on the competitiveness of small and medium businesses. The results of the study prove that product performance and competitiveness together mediate the relationship between Human Resources Quality and Welfare.|human resources quality; product performance; local culture; competitiveness; well-being||Jaya, PEJ (Corresponding Author), Udayana Univ, Fac Econ & Business, Denpasar, Bali, Indonesia. Jaya, Putu Eka Juliana; Utama, Made Suyana; Yasa, I. G. W. Murjana; Yuliarmi, Ni Nyoman, Udayana Univ, Fac Econ & Business, Denpasar, Bali, Indonesia.|English|
Journal Article|Lopez Fernandez R,Urquiola Sanchez O,Capa Benitez LB|Q2||Human resources and innovation practices in SMEs for tourist accommodation in Machala, Ecuador: An exploratory study|PASOS-REVISTA DE TURISMO Y PATRIMONIO CULTURAL|2018|16|3|833-842|GOBIERNO CANARIAS, CONSEJERIA EDUCACION CULTURA & DEPORTES|AVE DE ANAGUA, SANTA CRUZ TENERIFE, CANARIAS, 38001, SPAIN|2018-07|||1695-7121|http://dx.doi.org/10.25145/j.pasos.2018.16.058|10.25145/j.pasos.2018.16.058|The complexity and high level of uncertainty generated by the changes faced by tourism accommodation SMEs require that their management practices be modified to give priority to human resources. The present study focuses on an analysis of the present practices in human resource management as a strategic factor for the successful performance of these organizations. To this effect, a cross-sectional analytical study was carried out that included SMEs for tourism accommodation in Canton Machala in the province of El Oro in Ecuador. Theoretical methods such as synthetic, analytical and historical logic were used together with empirical analysis of documents plus observation studies,interviews and surveys. The results show that the present use and management of human resources is insufficientl, impacting negatively on the competitiveness of tourism accommodation SMEs in Canton Machala in the province of El Oro, Ecuador.|SMEs; Strategy and competitive advantage; Human resources; Strategic factor and tourist accommodations||Fernandez, RL (Corresponding Author), Univ Metropolitana, Quito, Ecuador. Lopez Fernandez, Raul; Urquiola Sanchez, Orquidea, Univ Metropolitana, Quito, Ecuador. Capa Benitez, Lenny Beatriz, Univ Tecn Machala, Machala, Ecuador.|Spanish|
Journal Article|Fernandes AA,Taba IM|Q2||Welding technology as the moderation variable in the relationships between government policy and quality of human resources and workforce competitiveness|JOURNAL OF SCIENCE AND TECHNOLOGY POLICY MANAGEMENT|2019|10|1|58-72|EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND|2019-03-04|||2053-4620|http://dx.doi.org/10.1108/JSTPM-05-2017-0019|10.1108/JSTPM-05-2017-0019|Purpose This paper aims to investigate the moderation effect of welding technology on the relationship between government policy and quality human resources and workforce competitiveness. Design/methodology/approach The research is quantitative in nature, i.e. it aims to explain the causality relationship between variables. This research is quantitative research, it aims to explain the causality relationship between variables. The analysis tool was generalized structure component analysis. Findings First, government policy has a significant and positive effect on workforce competitiveness, indicating that higher government policy will result in higher workforce competitiveness. Welding technology is the moderating variable in the relationship between government policy and workforce competitiveness. Higher implementation of welding technology will strengthen the relationship between government policy and workforce competitiveness. Second, quality of human resources has a significant and positive effect on workforce competitiveness; higher quality of human resources will therefore result in higher workforce competitiveness. Welding technology is the moderating variable in the relationship between quality of human resources and workforce competitiveness. Higher implementation of welding technology will therefore strengthen the relationship between quality of human resources and workforce competitiveness. Originality/value The moderating effect of welding technology in the relationships between government policy and quality of human resources and workforce competitiveness has not been comprehensively studied yet; the present study fills this gap.|Government policy; Human resources quality; Welding technology; Workforce competitiveness||Fernandes, AAR (Corresponding Author), Univ Brawijaya, Dept Stat, Malang, Indonesia. Fernandes, Adji Achmad Rinaldo, Univ Brawijaya, Dept Stat, Malang, Indonesia. Taba, Idrus Muhammad, Univ Hasanuddin, Dept Management, Makassar, Indonesia.|English|
Journal Article|Lopez-Torres GC|Q2||The impact of SMEs' sustainability on competitiveness|MEASURING BUSINESS EXCELLENCE|2023|27|1|107-120|EMERALD GROUP PUBLISHING LTD|HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND|2023-03-15|||1368-3047|http://dx.doi.org/10.1108/MBE-12-2021-0144|10.1108/MBE-12-2021-0144|Purpose Recently, researchers have shown an increased interest in sustainable development. Indeed, national and international governments call for urgent transformations into sustainable development, where firms are affected and affecting this situation. However, recent evidence has shown that small and medium-sized enterprises (SMEs) present low interest, commitment and maturation levels on sustainability; they seem to neglect and question the actual impact of transforming sustainability as a priority in their operations. Thus, this paper aims to measure the impact of sustainability on competitiveness in SMEs. Design/methodology/approach This is empirical research on sustainability and competitiveness in SMEs with a quantitative approach through structural equation modeling. Three hundred twenty-five surveys were applied to SMEs' manufacturing, construction, trade and services, operating in Mexico. Before measuring variables' multiple correlations, tests were carried out to establish the validity and reliability of the model. The data collection, validation and analysis were carried out with statistical package for social sciences and analysis of moment structures. Findings The results indicate a significant positive effect of SMEs' sustainability on competitiveness. The adjusted measurement model shows validity and reliability through the various tests applied. Thus, firms should not view sustainability as detrimental to their competitiveness. Originality/value Because firms are crucial in the urgent sustainability transformation, recent research has shown their low commitment and maturation to sustainability. This research's originality empirically measures and demonstrates sustainability's impact on SMEs' competitiveness. Therefore, empirically testing this impact becomes essential and original to provide better insights into SMEs' needs to be uncovered, prioritied and done in their specific and evolving contexts.|Competitiveness; Sustainability; Structural equations; Small to medium-sized enterprises (SME)||Lopez-Torres, GC (Corresponding Author), Univ Autonoma Aguascalientes, Dept Human Resources, Aguascalientes, Aguascalientes, Mexico. Lopez- Torres, Gabriela Citlalli, Univ Autonoma Aguascalientes, Dept Human Resources, Aguascalientes, Aguascalientes, Mexico.|English|
Journal Article|Stanciu RD,Pargaru I|Not yet assigned quartile||AN ANALYSIS OF THE HR PRACTICES IN THE SMALL AND MEDIUM-SIZED ENTERPRISES FROM THE DEVELOPMENT REGION BUCHAREST-ILFOV|METALURGIA INTERNATIONAL|2013|18|2|111-113|EDITURA STIINTIFICA FMR|CALEA GRIVITEI, NR 83, SECTOR 1, O P 12, BUCHAREST, 010705, ROMANIA|2013|||1582-2214|||The Small and Medium-sized Enterprises (SME) sector represents the engine of any economy, especially in a crisis period. In a turbulent economic environment, the SMEs adapt themselves easier, have high competitiveness, and resistance levels. In the same time, the success and stability of a company depend on the way its resources (materials, finance, information, technology, energy, employees) are used. Because of their importance, the human resources activities need a special consideration. The paper presents the results of a survey regarding the human resources practices conducted in the last part of year 2011 within 100 SMEs from the development region Bucharest-Ilfov.|SMEs; human resources; survey||Stanciu, RD (Corresponding Author), Univ Politehn Bucuresti, Bucharest, Romania. Stanciu, Radu D.; Pargaru, Ion, Univ Politehn Bucuresti, Bucharest, Romania.|English|
Journal Article|Robert-Huot G,Cloutier J|No results were found||Human resource management in SMEs: a systematic review|REVUE INTERNATIONALE PME|2020|33|1|101-146|EDITIONS E M S|17 RUE DES METIERS, CORMELLES LE ROYAL, 14123, FRANCE|2020|||0776-5436|http://dx.doi.org/10.7202/1069285ar|10.7202/1069285ar|While human capital remains the most important strategic asset for ensuring business competitiveness and sustainability, what do we know about human resource management in SMEs? This paper presents a literature review on human resource management (HRM) in SMEs. The 167 empirical articles found by searching the ABI/Inform and Repere databases are classified according to the nature of the knowledge they generated. These articles are then sorted into Jive categories according to whether they relate to (I) HR practices used in SMEs, (2) their distinctive characteristics compared to large enterprises, (3) the determinants of the adoption of HR practices, 4) their impact on the performance of SMEs, and (5) the processes through which HR practices are modified. The results show that the main focus of the studies was to verify whether large enterprises HRM model applies to SMEs. The formalization of HR practices has also attracted attention. In general, few studies have been done on the various aspects of HRM and their results are conflicting. Several research directions are proposed.|Human resources management (HRM); HR practices; SMEs; Literature review; Management||Robert-Huot, G (Corresponding Author), Univ Quebec Montreal, Ecole Sci Gest, Dept Org & Ressources Humaines, CP 8888,Succursale Ctr Ville, Montreal, PQ H3C 3P8, Canada. Robert-Huot, Genevieve; Cloutier, Julie, Univ Quebec Montreal, Ecole Sci Gest, Dept Org & Ressources Humaines, CP 8888,Succursale Ctr Ville, Montreal, PQ H3C 3P8, Canada.|French|
Journal Article|Khoryanton A,Pratikto,Suparman S,Santoso PB|Q4||Development of Business Model In SMEs of Ship Component to Improve Competitiveness|QUALITY-ACCESS TO SUCCESS|2020|21|176|27-32|SOC ROMANA PENTRU ASIGURAREA CALITATII|STR VASILE PARVAN NR 14, SECTOR 1, POSTAL CODE 010 216, BUCHAREST, 00000, ROMANIA|2020-06|||1582-2559|||The purpose of this study is to provide an overview of SMEs of Ship Component's current business model, describing Strengths, Weaknesses, Opportunities, and Threats based on the canvas business model and providing input on corrective action for the company. The research method is done with the business model approach of canvas, benchmarking analysis and SWOT analysis to form an alternative strategy. The result of this research is the improvement of the business model on nine elements of the Business Model Canvas and there are seven main improvement programs for the company as follows: Establishing new customer segmentation, cooperation with Indonesia Ship Components Industry Association, business partner and supplier of raw materials, forming subsection of research and development as well as recruiting potential human resources.|SMEs of ship component; business model canvas; SWOT||Khoryanton, A (Corresponding Author), Brawijaya Univ, Malang, Indonesia. Khoryanton, A (Corresponding Author), Politekn Negeri Semarang, Dept Mech Engn, Semarang, Indonesia. Khoryanton, Ampala, Brawijaya Univ, Malang, Indonesia. Khoryanton, Ampala, Politekn Negeri Semarang, Dept Mech Engn, Semarang, Indonesia. Pratikto; Suparman, Sudjito; Santoso, Purnomo Budi, Univ Brawijaya, Fac Engn, Mech Engn Dept, Malang, Indonesia.|English|
Journal Article|Hwangbo Y,Yang YS,Kim MS,Kim Y|Q1||The Effectiveness of Kano-QFD Approach to Enhance Competitiveness of Technology-Based SMEs through Transfer Intention Model|SUSTAINABILITY|2020|12|19||MDPI|ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND|2020-10||||http://dx.doi.org/10.3390/su12197885|10.3390/su12197885|Despite the value of QFD (Quality Function Deployment), it has been applied to individual industries, or only to large companies with sufficient QFD-related human resources and sufficient financial resources. Most SMEs, which account for 80% of the world economy, have not been able to benefit from QFD, the tool designed to revamp the growth, due to the lack of financial and human resources to implement QFD and Kano Model. This paper is brought to assess the effectiveness of Kano-QFD approach for technology-based SMEs through the transfer intention model. In order to verify the effectiveness of the above approach, 860 technology- based SMEs in their establishment 3-7 years are researched for the learning transfer intention after the completion of Kano QFD education and training program. The results of this study are that the perceived content validity has the direct effect on learning transfer intention simultaneously with the partial mediating effect through the self-efficacy factor. The learner readiness does not directly influence the learning transfer intention and the self-efficacy completely mediates the learner readiness and the transfer intention. This research contributes to providing critical implications for the educators and training planners in in private sector as well as policy makers of technology-based SMEs in the public sector.|new technology-based firms (NTBFs); quality function deployment; effectiveness of Kano QFD; transfer intension; training performance; learner readiness; perceived content validity; self-efficacy; SMEs||Kim, Y (Corresponding Author), Korea Univ, Grad Sch Management Technol, Seoul 02841, South Korea. Hwangbo, Yun, Kookmin Univ, Grad Sch Global Entrepreneurship, Seoul 02707, South Korea. Yang, Young-Seok; Kim, Myung-Seuk, Hanbat Natl Univ, Grad Sch Entrepreneurial Management, Daejeon 34158, South Korea. Kim, YoungJun, Korea Univ, Grad Sch Management Technol, Seoul 02841, South Korea.|English|
Journal Article|Mansion SE,Bausch A|Q1||Intangible assets and SMEs' export behavior: a meta- analytical perspective|SMALL BUSINESS ECONOMICS|2020|55|3, SI|727-760|SPRINGER|VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS|2020-10|||0921-898X|http://dx.doi.org/10.1007/s11187-019-00182-5|10.1007/s11187-019-00182-5|Thanks to their dominant role in fostering socioeconomic prosperity, exporting small- and medium-sized enterprises (SMEs) are perceived to be a major societal asset. Coming out of the great financial crisis, initiatives to nurture their (export) competitiveness have been high on the political agenda. In this vein, a growing literature explores the pertinence of firm-specific factors for explaining differences in SMEs' export behavior. However, the puzzle of how intangible, knowledge- based assets, such as human and relational capital, contribute to establishing a viable position in export markets remains. By synthesizing empirical evidence from 167 studies, this meta-analytic path analysis reveals significant differential direct and indirect effects of human and relational capital endowment on dimensions of export behavior. Concurrently, our analysis uncovered that positive influences of intangible assets are context- dependent. In fact, human resources appear to be particularly pertinent for exporting SMEs in developing economies.|SMEs; Exports; Human capital; Relational capital; Innovation; Meta-analytic path analysis||Mansion, SE (Corresponding Author), Justus Liebig Univ Giessen, Dept Econ & Business, Chair Strateg & Int Management, Licher Str 62, D-35394 Giessen, Germany. Mansion, Stephanie E.; Bausch, Andreas, Justus Liebig Univ Giessen, Dept Econ & Business, Chair Strateg & Int Management, Licher Str 62, D-35394 Giessen, Germany.|English|
Journal Article|Korcsmaros E,Machova R|Q2||Challenges of Burnout Prevention in Slovac SMEs- Focus on Optimal Employment|ACTA POLYTECHNICA HUNGARICA|2021|18|2|87-104|BUDAPEST TECH|BECSI UT 96-B, BUDAPEST, H-1034, HUNGARY|2021|||1785-8860|http://dx.doi.org/10.12700/APH.18.2.2021.2.5|10.12700/APH.18.2.2021.2.5|Labor shortages have become widespread in Slovakia in recent years. Numerous studies deal with the difficulties of finding a skilled, motivated workforce and the difficulties of retantion. The aim of this study is to introduce the tools used by managers in HR with special regard in examining the efforts companies make to prevent burnout. The study provides a statistical analysis of the results of primary data collection on a sample of 431 SMEs the current employment policy issues in Slovakia, with a particular focus on recruitment, motivation and retention. SMEs are the engine of the European Economy, which is why it is very important that this machinery works well, is able to produce continuously and thus contribute to the economic development of the country. One of the prerequisites for this is that the human resources available to them are properly managed. Our goal is to showcase the opportunities and tools that a manager or HR department uses when it comes to employing a company, and to try to find a solution for the problem of retaining an effective workforce. Based on the obtained data related to burnout syndrome, we can conclude that 76.38% of the surveyed companies address the issue of employee burnout. 86% of the employees are at risk of burnout, since burnout is the diesease of our modern civilization. 68% of the companies struggle with more than a 15% workforce fluctuation, which can be declared a loss for the company.|employment; motivation tools; burnout syndrome; SMEs competitiveness; Slovakia||Korcsmaros, E (Corresponding Author), J Selye Univ, Fac Economm, Bratislayska Str 3322, Komarno, Slovakia. Korcsmaros, Eniko; Machova, Renata, J Selye Univ, Fac Economm, Bratislayska Str 3322, Komarno, Slovakia.|English|
Journal Article|Dao TN,Le HT,Chu PT,Pham NH,Luong TT,Tran DT|Not yet assigned quartile||Determinants of the Competitiveness of Women-Owned Small- and Medium-Sized Enterprises: An Empirical Study from Vietnam|JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS|2021|8|12|345-352|KOREA DISTRIBUTION SCIENCE ASSOC|HANSHIN OFFICETEL STE 1030, 2463-4, SHINHEUNG-DONG SUJEONG-GU, Seongnam City, Gyeonggi-do 461-713, SOUTH KOREA|2021-12|||2288-4637|http://dx.doi.org/10.13106/jafeb.2021.vol8.no12.0345|10.13106/jafeb.2021.vol8.no12.0345|Guided by a resource-based theory, this study is the first one that takes a quantitative approach to identify determinants of competitiveness of women- owned small and medium enterprises (SMEs) in Vietnam. The study employs time series data of Vietnamese SMEs extracted from the Vietnam Small and Medium Enterprises Survey conducted biennially from 2005 to 2015 in ten Vietnamese provinces. Firm competitiveness hereby is indicated by revenue, market share, profitability, and export volume. The research reveals a number of determining factors, of all, research and development, labor skills, business environment, technology investment are the most important factors, followed by capital and headcount. It is indicated that the determining factors have different influences on competitiveness obtained by different measurements. Therefore, it is based on specific targets and situations to make wise business decisions. The authors also make comparisons among groups of women-owned enterprises divided by their firm age, location, ownership, export, age, and educational background of business owners. The findings serve as critical empirical evidence and provide policy recommendations for improving the competitiveness of women-owned SMEs in Vietnam. The recommendations range from technology support, education and professional support for female entrepreneurs, access to capital and human resources to business environment improvement.|Competitiveness; SME; Women Entrepreneurs; Research and Development; Labor||Luong, TTD (Corresponding Author), Foreign Trade Univ, FTU Innovat & Incubat Space, 91 Chua Lang St, Hanoi 100000, Vietnam. Tien Ngoc Dao, Foreign Trade Univ, Hanoi, Vietnam. Ha Thi Thu Le; Trang Thi Dai Luong, Foreign Trade Univ, FTU Innovat & Incubat Space, 91 Chua Lang St, Hanoi 100000, Vietnam. Phuong Thi Mai Chu, Foreign Trade Univ, Fac Int Econ, Hanoi, Vietnam. Ngan Hoang Pham, Innovat AgriBusiness Res & Investment, Hanoi, Vietnam. Dung Tri Tran, Swiss Entrepreneurship Program, Hanoi, Vietnam.|English|
Journal Article|Popa S,Soto-Acosta P,Martinez- Conesa I|Q1||Antecedents, moderators, and outcomes of innovation climate and open innovation: An empirical study in SMEs|TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE|2017|118||134-142|ELSEVIER SCIENCE INC|STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA|2017-05|||0040-1625|http://dx.doi.org/10.1016/j.techfore.2017.02.014|10.1016/j.techfore.2017.02.014|In recent years, open innovation (OI) has attracted much attention in innovation management research. Although showing signs of advance, most of the existing literature still relies, to a great extent, on case studies and conceptual frameworks, with little empirical research in the specific context of small and medium enterprises (SMEs). This paper adds to the literature by empirically assessing the effects of organizational antecedents and innovation climate on OI as well as its consequences on firm performance in SMEs. In addition, the moderating roles of environmental dynamisms and competitiveness in the relationships between innovation climate and inbound and outbound OI are analyzed. To achieve these goals, this paper develops an integrative research model, which analyses the network relations using covariance-based structural equation modeling (SEM) on a data set of 429 Spanish SMEs. Results revealed that organizational factors such as commitment-based human resources practices have a positive influence on innovation climate and that innovation climate contributes to both inbound and outbound OI. Another important finding is that contingent factors such as environmental dynamism strengthen the positive effect of innovation climate on outbound OI. The main conclusions of this research can be valuable to SMEs that implement or intend to implement OI. (C) 2017 Elsevier Inc All rights reserved.|Open innovation; Innovation climate; Environmental moderators; Human resources practices; Organizational factors||Soto-Acosta, P (Corresponding Author), Univ Murcia, Dept Management & Finance, E-30100 Murcia, Spain. Popa, Simona, Catholic Univ Murcia, Dept Business Adm & Management, Campus Jeronimos, Murcia 30107, Spain. Soto-Acosta, Pedro, Univ Murcia, Dept Management & Finance, E-30100 Murcia, Spain. Martinez-Conesa, Isabel, Univ Murcia, Dept Financial Econ & Accounting, E-30100 Murcia, Spain.|English|
Journal Article|Ivanovic S,Momcilovic O,Fuchs S|VARIOS RESULTADOS||IMPACT ANALYSIS OF HUMAN RESOURCES AND LEADERSHIP ON INNOVATION IN SMALL AND MEDIUM ENTERPRISES|INTERNATIONAL REVIEW|2022||3-4|67-75|FAC BUSINESS ECONOMICS & ENTREPRENEURSHIP|VOJVDE VLAHOVICA STR NO 35B, BELGRADE, 00000, SERBIA|2022|||2217-9739|http://dx.doi.org/10.5937/intrev2204069I|10.5937/intrev2204069I|Small and medium enterprises (SMEs) are today considered a very important pillar of economic growth in many countries. These companies account for 80% of global economic growth, employ the largest percentage of the workforce and contribute to income generation. However, although they represent a very important factor in today's business these businesses face a number of challenges as they are constantly under pressure to maintain their own competitiveness both in the domestic and global markets. One of the key sources of survival of small and medium enterprises and building a sustainable competitive advantage are considered innovations. They usually start with innovative ideas and innovative activities that lead to improvement in the overall performance of the company. In addition to improving product quality and reducing costs, innovation also allows for increased efficiency and sales for the organization. Innovation is a process that must take place continuously. The implementation of innovative culture in companies must include all segments of the company and help to create good conditions for the development of creative individuals. Croatia is a country that belongs to the group of moderate innovators, however, as innovation is today a key factor in the success of all companies, this paper investigates the influence of human resources and leadership on innovation in small and medium-sized companies in Croatia.|human resources; leadership; innovation; small and medium enterprises||Ivanovic, S (Corresponding Author), Univ Rijeka, Fac Tourism & Hospitality Management Opatija, Rijeka, Croatia. Ivanovic, Slobodan; Fuchs, Sara, Univ Rijeka, Fac Tourism & Hospitality Management Opatija, Rijeka, Croatia. Momcilovic, Oliver, Univ Business Acad Novi Sad, Fac Appl Management Econ & Finance Belgrade, Belgrade, Serbia.|English|
Journal Article|Kiselakova D,Sofrankova B,Gombar M,Cabinova V,Onuferova E|Q1||Competitiveness and Its Impact on Sustainability, Business Environment, and Human Development of EU (28) Countries in terms of Global Multi-Criteria Indices|SUSTAINABILITY|2019|11|12||MDPI|ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND|2019-06-02||||http://dx.doi.org/10.3390/su11123365|10.3390/su11123365|In this paper, the following research problem was addressed: Is there a significant economic impact of multidimensional specified competitiveness within the EU (28) countries on the competitive business environment, human development, and sustainable growth? Based on the mentioned research problem, we formulated the aim of paper: To detect the significant interrelations among the assessment of global competitiveness, business environment as well as human development in the EU (28) countries for the period of 2006-2017. To address these problems, the methodology of global multi-criteria indices, namely the global competitiveness index (GCI), doing business index (DBI), and human development index (HDI), as well as panel analysis and non-linear regression analyses with ANOVA, were applied. The panel analysis results suggest that there is a direct linear relationship between the GCI and HDI. Moreover, the impact of the DBI on the change in the GCI score was not confirmed. We identified the main areas of countries' interest, and important economic and statistical significant relations of competitiveness by creating three models: The GD model (constructed by GCI and DBI scores), GH model (GCI and HDI scores), and GDH model (GCI, DBI and HDI scores). Based on the results, all interrelations were confirmed. However, the highest extent of variability for the explanation of the selected data was recorded in the case of the GDH model (87.12%). We detected the impact of the business environment and human resources as competitive advantages on global macroeconomic competitiveness. As the business sector in EU (28) countries is represented mainly by small and medium- sized enterprises (SMEs), enterprise activities play a key role in the process of sustainable competitive economic development. Moreover, human resources are considered to be another important driver of the internationalization of European SMEs.|multi-criteria indices; global competitiveness; business environment; human development; regression modelling; small and medium enterprises||Sofrankova, B (Corresponding Author), Univ Presov Presov, Dept Finance, Fac Management, Konstantinova 16, Presov 08001, Slovakia. Kiselakova, Dana; Sofrankova, Beata; Cabinova, Veronika; Onuferova, Erika, Univ Presov Presov, Dept Finance, Fac Management, Konstantinova 16, Presov 08001, Slovakia. Gombar, Miroslav, Univ Presov Presov, Dept Management, Fac Management, Konstantinova 16, Presov 08001, Slovakia.|English|
Journal Article|Todericiu R|Q3||THE IMPACT OF INTELLECTUAL CAPITAL ON THE SMEs PERFORMANCE: A STUDY OF THE ROMANIAN CENTRAL REGION SMEs|STUDIES IN BUSINESS AND ECONOMICS|2021|16|1|198-209|SCIENDO|BOGUMILA ZUGA 32A, WARSAW, MAZOVIA, POLAND|2021-04-01|||1842-4120|http://dx.doi.org/10.2478/sbe-2021-0016|10.2478/sbe-2021-0016|The 21st century is the century of change and maybe one of the most important changes in the organizations' life is the transition from focusing on the development of the tangible assets to the development of the intangible assets and the interest for attracting human resources capable to generate performance. The survival of many companies depends on their willingness and capacity to adapt to such changes. (Abdulaali, 2018) In this dynamic and complex economic system, the intangible assets of organizations become primary, being decisive for the organizations' performance. In the new economic competition, intangible assets provide a sustainable competitive advantage, intellectual capital and intangible assets representing the key factor in company profitability and success. In the knowledge based society, intellectual capital has more value for organizations than tangible assets and knowledge becomes a permanent source of competitiveness (Bhatti, Zaheer, 2014). It is considered by specialists a valuable and strategic resource, since the success of organizations depends on creating, discovering, storing, disseminating, measuring and developing knowledge. The main objective of the research presented in this paper is to offer an overview on the specific problems and needs of the entrepreneurs financed through the Romania Start-up Plus programme, part of Start-UP Hub: The Entrepreneurs Laboratory Cod SIMS: 105648. A primary target of this research is to examine the components of intellectual capital and the way in which the intellectual capital influences the small business performance. The majority of the researchers agree that intellectual capital is directly connected to the performance of the SMEs sector. The results of our analysis shows the fact that intangible assets influence business development in various ways, such as increasing competitive advantage, expanding employee competency and improving organizational performance.|intellectual capital; intangible asset; SMEs performance; structural capital; relational capital||Todericiu, R (Corresponding Author), Lucian Blaga Univ Sibiu, Sibiu, Romania. Todericiu, Ramona, Lucian Blaga Univ Sibiu, Sibiu, Romania.|English|
